Date|Time|Description|Vendor|Amount
2026-05-01|08:01:10|apple pay|ahmad|25.00
2026-05-01|07:37:49|rewards|cashapp|44.00
2026-05-01|07:17:19|credit card debt|wells fargo|-110.00
2026-05-01|07:16:51|savings|wells fargo|150.00
2026-05-01|06:17:19|groceries|Aldi|-60.00
2026-05-01|06:16:41|paycheck|YUU|2000.00
2026-05-01|06:16:02|credit card debt|wells fargo|-50.00
2026-05-01|06:11:50|savings|capital1|50.00
2026-04-30|21:57:19|p|ham shop|20.00
2026-04-30|21:55:43|salary|google|5000.00
2026-04-30|21:46:28|rent|landlord|-2000.00
2026-04-30|21:43:43|savings|wells fargo|55.00
2026-04-30|20:13:00|phonebill|verizon|45.00
2026-04-30|20:12:35|test|test|420.00
2026-04-29|15:30:00|Afternoon Snack|Vending Machine|-2.50
2026-04-29|09:15:00|Water Bill|City Water|-45.00
2026-04-28|11:45:00|Lunch with Mom|Olive Garden|-65.30
2026-04-28|10:30:00|Morning Coffee|Starbucks|-5.75
2026-04-27|15:45:00|Sold Old Bike|Marketplace|120.00
2026-03-27|15:45:00|Sold Old Bike|Bazaar|120.00
2026-03-27|15:45:00|Sold Old Bike|Super Market|120.00
2026-01-01|15:45:00|Sold Old Bike|store|120.00
2025-12-25|12:00:00|Christmas Gift|Grandma|100.00
2025-10-31|19:30:00|Halloween Decor|Target|-42.00
2025-07-04|20:00:00|Fireworks Display|City Park|-15.00
2025-03-05|14:22:10|Utility Bill|PowerCo|-145.50
2025-01-01|00:05:00|New Year Gym Fee|Planet Fitness|-25.00
2024-11-12|08:15:00|Monthly Rent|Landlord|-1200.00
2024-09-10|08:30:12|Software Sub|Adobe|-54.99
2024-06-30|17:00:00|Freelance Payment|Client X|750.00
2024-05-15|18:45:33|Dinner Out|Taco Bell|-22.15
2024-02-29|16:20:14|Leap Year Bonus|Employer|250.00
2023-12-15|09:45:22|Car Insurance|Geico|-110.00
2023-11-23|13:00:00|Grocery Shopping|Whole Foods|-189.40
2023-08-14|11:10:05|Gas Refill|Exxon|-55.00
2023-04-12|14:55:00|Amazon Purchase|Amazon|-34.99
2023-01-20|09:00:00|Initial Deposit|Self|5000.00
